id,tpp,interface,chn,min,max,mean,std,kks
72,gujiao,vertical_metal_temp_front,垂直管出口金属温度前墙,320.0000,430.0000,0.5854,0.1129,4DCS.40HAD40CT636 4DCS.40HAD40CT637 4DCS.40HAD40CT638 4DCS.40HAD40CT639 4DCS.40HAD40CT640 4DCS.40HAD40CT641 4DCS.40HAD40CT642 4DCS.40HAD40CT643 4DCS.40HAD40CT644 4DCS.40HAD40CT645 4DCS.40HAD40CT646 4DCS.40HAD40CT647 4DCS.40HAD40CT648 4DCS.40HAD40CT649 4DCS.40HAD40CT650 4DCS.40HAD40CT651 4DCS.40HAD40CT652 4DCS.40HAD40CT653 4DCS.40HAD40CT654 4DCS.40HAD40CT655 4DCS.40HAD40CT656 4DCS.40HAD40CT657 4DCS.40HAD40CT658 4DCS.40HAD40CT659 4DCS.40HAD40CT660 4DCS.40HAD40CT661 4DCS.40HAD40CT662 4DCS.40HAD40CT663 4DCS.40HAD40CT664 4DCS.40HAD40CT665 4DCS.40HAD40CT666
73,gujiao,vertical_metal_temp_right,垂直管出口金属温度右墙,320.0000,420.0000,0.5283,0.1140,4DCS.40HAD40CT667 4DCS.40HAD40CT668 4DCS.40HAD40CT670 4DCS.40HAD40CT674 4DCS.40HAD40CT677 4DCS.40HAD40CT678 4DCS.40HAD40CT679 4DCS.40HAD40CT680 4DCS.40HAD40CT681 4DCS.40HAD40CT682 4DCS.40HAD40CT683 4DCS.40HAD40CT684 4DCS.40HAD40CT685 4DCS.40HAD40CT686 4DCS.40HAD40CT687
74,gujiao,screen_superheater_wall_temp,屏过出口壁温,470.0000,540.0000,0.5404,0.1036,4DCS.40HAH24CT601 4DCS.40HAH24CT602 4DCS.40HAH24CT603 4DCS.40HAH24CT604 4DCS.40HAH24CT605 4DCS.40HAH24CT606 4DCS.40HAH24CT607 4DCS.40HAH24CT608 4DCS.40HAH24CT609 4DCS.40HAH24CT610 4DCS.40HAH24CT611 4DCS.40HAH24CT612 4DCS.40HAH24CT613 4DCS.40HAH24CT614 4DCS.40HAH24CT615 4DCS.40HAH24CT616 4DCS.40HAH24CT617 4DCS.40HAH24CT618 4DCS.40HAH24CT619 4DCS.40HAH24CT620 4DCS.40HAH24CT621 4DCS.40HAH24CT622 4DCS.40HAH24CT623 4DCS.40HAH24CT624 4DCS.40HAH24CT625 4DCS.40HAH24CT626 4DCS.40HAH24CT627 4DCS.40HAH24CT628 4DCS.40HAH24CT629 4DCS.40HAH24CT630
75,gujiao,reheater_outlet_wall_temp,末级再热器出口壁温,500.0000,600.0000,0.6528,0.0621,4DCS.40HAJ10CT601 4DCS.40HAJ10CT602 4DCS.40HAJ10CT603 4DCS.40HAJ10CT604 4DCS.40HAJ10CT605 4DCS.40HAJ10CT606 4DCS.40HAJ10CT607 4DCS.40HAJ10CT608 4DCS.40HAJ10CT609 4DCS.40HAJ10CT610 4DCS.40HAJ10CT611 4DCS.40HAJ10CT612 4DCS.40HAJ10CT613 4DCS.40HAJ10CT614 4DCS.40HAJ10CT615 4DCS.40HAJ10CT616 4DCS.40HAJ10CT617 4DCS.40HAJ10CT618 4DCS.40HAJ10CT619 4DCS.40HAJ10CT620 4DCS.40HAJ10CT621
76,gujiao,airpre_inlet_smoke_temp,预热器入口烟气温度,300.0000,360.0000,0.4979,0.1423,4DCS.40HNA12CT603 4DCS.40HNA11CT606
77,gujiao,airpre_outlet_smoke_oxygen,空预器出口烟气含氧量,0.0000,10.0000,0.5308,0.0727,4DCS.40HNA12CQ102AO 4DCS.40HNA11CQ102AO
78,gujiao,airpre_smoke_pressure,空预器出入口烟气差压,0.0000,4.0000,0.3740,0.1364,N4BKYYQCY N4AKYYQCY
79,gujiao,exhaust_temp,空预器出口烟气温度(排烟温度),120.0000,180.0000,0.4592,0.1152,4DCS.40HNA12CT301 4DCS.40HNA12CT302 4DCS.40HNA12CT303 4DCS.40HNA12CT304 4DCS.40HNA11CT301 4DCS.40HNA11CT302 4DCS.40HNA11CT303 4DCS.40HNA11CT304
80,gujiao,4DCS.40LOAD,机组实际负荷,200.0000,600.0000,0.5073,0.1311,4DCS.40LOAD
81,gujiao,main_steam_temp,末级过热器出口温度(主汽温度),520.0000,580.0000,0.6493,0.1108,4DCS.40LAB11CT609 4DCS.40LAB12CT609
82,gujiao,reheat_steam_temp,末级再热器出口温度(再热汽温),520.0000,580.0000,0.5984,0.1373,4DCS.40HAJ11CT609 4DCS.40HAJ12CT609
83,gujiao,reheat_steam_pressure,再热蒸汽压力,0.0000,4.5000,0.4461,0.1384,4DCS.40LBB20CP101 4DCS.40LBB20CP102 4DCS.40LBB20CP103
84,gujiao,4DCS.40LAB80CT301,给水温度,225.0000,300.0000,0.5472,0.0616,4DCS.40LAB80CT301
85,gujiao,emission,炉脱销反应器入口NOx,200.0000,800.0000,0.3671,0.0807,4DCS.40TXDCSNOX01 4DCS.40TXDCSNOX02
86,gujiao,4DCS.40LAE12CF101F,A侧一级过热器减温水流量,0.0000,80.0000,0.1702,0.1494,4DCS.40LAE12CF101F
87,gujiao,4DCS.40LAE14CF101F,B侧一级过热器减温水流量,0.0000,80.0000,0.1776,0.1675,4DCS.40LAE14CF101F
88,gujiao,4DCS.40LAE11CF101F,A侧二级过热器减温水流量,0.0000,80.0000,0.1510,0.1267,4DCS.40LAE11CF101F
89,gujiao,4DCS.40LAE13CF101F,B侧二级过热器减温水流量,0.0000,80.0000,0.1235,0.0963,4DCS.40LAE13CF101F
90,gujiao,fir_inlet_tempA,A侧一级减温入口温度,340.0000,450.0000,0.5788,0.0593,4DCS.40HAH16CT601 4DCS.40HAH16CT602 4DCS.40HAH16CT603
91,gujiao,fir_outlet_tempA,A侧一级减温出口温度,340.0000,450.0000,0.5420,0.0639,4DCS.40HAH16CT604 4DCS.40HAH16CT605 4DCS.40HAH16CT606
92,gujiao,fir_inlet_tempB,B侧一级减温入口温度,340.0000,450.0000,0.5687,0.0567,4DCS.40HAH16CT607 4DCS.40HAH16CT608 4DCS.40HAH16CT609
93,gujiao,fir_outlet_tempB,B侧一级减温出口温度,340.0000,450.0000,0.5341,0.0734,4DCS.40HAH16CT610 4DCS.40HAH16CT611 4DCS.40HAH16CT612
94,gujiao,sed_inlet_tempA,A侧二级减温入口温度,420.0000,550.0000,0.4829,0.0572,4DCS.40HAH21CT601 4DCS.40HAH21CT602 4DCS.40HAH21CT603
95,gujiao,sed_outlet_tempA,A侧二级减温出口温度,420.0000,550.0000,0.5507,0.0283,4DCS.40HAH21CT604 4DCS.40HAH21CT605 4DCS.40HAH21CT606
96,gujiao,sed_inlet_tempB,B侧二级减温入口温度,420.0000,550.0000,0.5408,0.0614,4DCS.40HAH22CT601 4DCS.40HAH22CT602 4DCS.40HAH22CT603
97,gujiao,sed_outlet_tempB,B侧二级减温出口温度,420.0000,550.0000,0.5525,0.0293,4DCS.40HAH22CT604 4DCS.40HAH22CT605 4DCS.40HAH22CT606
98,gujiao,4DCS.40LAB11CP101,末级过热器出口压力,8.0000,30.0000,0.6783,0.1408,4DCS.40LAB11CP101
99,gujiao,high_pressure_tube_temp,高压排汽总管蒸汽温度锅炉侧,280.0000,350.0000,0.5862,0.0894,4DCS.40LBC20CT603 4DCS.40LBC20CT604
100,gujiao,4DCS.40LBC20CP102,高压排汽总管蒸汽压力锅炉侧,1.0000,4.6000,0.4791,0.1568,4DCS.40LBC20CP102
101,gujiao,4DCS.40HNA12CT607,B侧水平烟道烟温,550.0000,950.0000,0.4752,0.1529,4DCS.40HNA12CT607
102,gujiao,4DCS.40HNA11CT607,A侧水平烟道烟温,600.0000,900.0000,0.4584,0.1554,4DCS.40HNA11CT607
103,gujiao,4DCS.40HNA11CT608,尾部烟道低再入口A侧烟温,500.0000,750.0000,0.4434,0.1190,4DCS.40HNA11CT608
104,gujiao,4DCS.40HNA12CT608,尾部烟道低再入口B侧烟温,500.0000,750.0000,0.4772,0.1147,4DCS.40HNA12CT608
105,gujiao,4DCS.40HNA11CT609,尾部烟道低过入口A侧烟温,450.0000,650.0000,0.4170,0.1319,4DCS.40HNA11CT609
106,gujiao,4DCS.40HNA12CT609,尾部烟道低过入口B侧烟温,450.0000,650.0000,0.4427,0.1226,4DCS.40HNA12CT609
107,gujiao,superheater_gas_temp,水平低温过热器出口烟气温度,380.0000,530.0000,0.5872,0.1248,4DCS.40HNA11CT601 4DCS.40HNA11CT602
108,gujiao,reheater_gas_temp,水平低温再热器出口烟气温度,340.0000,400.0000,0.5677,0.0943,4DCS.40HNA12CT601 4DCS.40HNA12CT602
109,gujiao,env_temp,送风机入口风温(环境温度),-20.0000,40.0000,0.4629,0.1465,4DCS.42HLA11CT301 4DCS.42HLA12CT301
110,gujiao,received_base_moisture,收到基水份,0.0000,15.0000,0.3816,0.1144,CoalQuality.Mt
111,gujiao,received_base_ash,收到基灰份,0.0000,45.0000,0.5471,0.1388,CoalQuality.Aar
112,gujiao,dry_ash_free_volatile,干燥无灰基挥发份,15.0000,38.0000,0.5402,0.1232,CoalQuality.Vdaf
113,gujiao,net_calorific_power,低位发热量,1700.0000,2800.0000,0.5127,0.1076,CoalQuality.Qnet
114,gujiao,flyAsh,飞灰可燃物含量,0.0000,10.0000,0.2809,0.1984,CoalQuality.flyAsh
115,gujiao,slag,大渣可燃物含量,0.0000,2.0000,0.1054,0.0985,CoalQuality.slag
116,gujiao,4DCS.40RTUDCSAI001,目标负荷,250.0000,600.0000,0.5113,0.1339,4DCS.40RTUDCSAI001
117,gujiao,4DCS.40HFB11AF001AI,A给煤机瞬时给煤量反馈,0.0000,100.0000,0.2181,0.2395,4DCS.40HFB11AF001AI
118,gujiao,4DCS.40HFC11AJ002AI,A磨动态分离器速度反馈,0.0000,100.0000,0.2304,0.2416,4DCS.40HFC11AJ002AI
119,gujiao,4DCS.40HFE21AA102AI,A磨入口冷风调门开度反馈,0.0000,100.0000,0.1801,0.1859,4DCS.40HFE21AA102AI
120,gujiao,4DCS.40HFE21AA101AI,A磨入口热风调门开度反馈,0.0000,100.0000,0.2273,0.2704,4DCS.40HFE21AA101AI
121,gujiao,4DCS.40HFB12AF001AI,B给煤机瞬时给煤量反馈,0.0000,100.0000,0.1913,0.2264,4DCS.40HFB12AF001AI
122,gujiao,4DCS.40HFC12AJ002AI,B磨动态分离器速度反馈,0.0000,100.0000,0.2093,0.2383,4DCS.40HFC12AJ002AI
123,gujiao,4DCS.40HFE22AA102AI,B磨入口冷风调门开度反馈,0.0000,100.0000,0.1355,0.1474,4DCS.40HFE22AA102AI
124,gujiao,4DCS.40HFE22AA101AI,B磨入口热风调门开度反馈,0.0000,100.0000,0.2358,0.2842,4DCS.40HFE22AA101AI
125,gujiao,4DCS.40HFB13AF001AI,C给煤机瞬时给煤量反馈,0.0000,100.0000,0.4827,0.0763,4DCS.40HFB13AF001AI
126,gujiao,4DCS.40HFC13AJ002AI,C磨动态分离器速度反馈,0.0000,100.0000,0.4913,0.0657,4DCS.40HFC13AJ002AI
127,gujiao,4DCS.40HFE23AA102AI,C磨入口冷风调门开度反馈,0.0000,100.0000,0.2435,0.0919,4DCS.40HFE23AA102AI
128,gujiao,4DCS.40HFE23AA101AI,C磨入口热风调门开度反馈,0.0000,100.0000,0.5203,0.2005,4DCS.40HFE23AA101AI
129,gujiao,4DCS.40HFB14AF001AI,D给煤机瞬时给煤量反馈,0.0000,100.0000,0.4942,0.0681,4DCS.40HFB14AF001AI
130,gujiao,4DCS.40HFC14AJ002AI,D磨动态分离器速度反馈,0.0000,100.0000,0.5012,0.0543,4DCS.40HFC14AJ002AI
131,gujiao,4DCS.40HFE24AA302AI,D磨入口冷风调门开度反馈,0.0000,100.0000,0.2869,0.1035,4DCS.40HFE24AA302AI
132,gujiao,4DCS.40HFE24AA304AI,D磨入口热风调门开度反馈,0.0000,100.0000,0.4572,0.1636,4DCS.40HFE24AA304AI
133,gujiao,4DCS.40HFB15AF001AI,E给煤机瞬时给煤量反馈,0.0000,100.0000,0.4864,0.0568,4DCS.40HFB15AF001AI
134,gujiao,4DCS.40HFC15AJ002AI,E磨动态分离器速度反馈,0.0000,100.0000,0.4888,0.0490,4DCS.40HFC15AJ002AI
135,gujiao,4DCS.40HFE25AA102AI,E磨入口冷风调门开度反馈,0.0000,100.0000,0.2362,0.0919,4DCS.40HFE25AA102AI
136,gujiao,4DCS.40HFE25AA101AI,E磨入口热风调门开度反馈,0.0000,100.0000,0.6019,0.1695,4DCS.40HFE25AA101AI
137,gujiao,4DCS.40HFB16AF001AI,F给煤机瞬时给煤量反馈,0.0000,100.0000,0.4900,0.0619,4DCS.40HFB16AF001AI
138,gujiao,4DCS.40HFC16AJ002AI,F磨动态分离器速度反馈,0.0000,100.0000,0.4956,0.0524,4DCS.40HFC16AJ002AI
139,gujiao,4DCS.40HFE26AA102AI,F磨入口冷风调门开度反馈,0.0000,100.0000,0.2905,0.1034,4DCS.40HFE26AA102AI
140,gujiao,4DCS.40HFE26AA101AI,F磨入口热风调门开度反馈,0.0000,100.0000,0.6212,0.2006,4DCS.40HFE26AA101AI
141,gujiao,4DCS.41HLB11AA101AI,1号一次风机动叶调节执行机构反,0.0000,100.0000,0.6809,0.0804,4DCS.41HLB11AA101AI
142,gujiao,F_layer_damper,炉前F层风门开度反馈,0.0000,100.0000,0.1966,0.0659,4DCS.40HLA45AA100AI 4DCS.40HLA55AA100AI
143,gujiao,D_layer_damper,炉前D层风门开度反馈,0.0000,100.0000,0.1763,0.0566,4DCS.40HLA46AA100AI 4DCS.40HLA56AA100AI
144,gujiao,B_layer_damper,炉前B层风门开度反馈,0.0000,100.0000,0.1873,0.0814,4DCS.40HLA47AA100AI 4DCS.40HLA57AA100AI
145,gujiao,burnout_wind_damper1,炉前过燃风风门开度反馈,0.0000,100.0000,0.6487,0.1080,4DCS.40HLA48AA100AI 4DCS.40HLA58AA100AI
146,gujiao,burnout_wind_damper2,炉后过燃风风门开度反馈,0.0000,100.0000,0.6400,0.1013,4DCS.40HLA44AA100AI 4DCS.40HLA54AA100AI
147,gujiao,A_layer_damper,炉后A层风门开度反馈,0.0000,100.0000,0.1592,0.0685,4DCS.40HLA43AA100AI 4DCS.40HLA53AA100AI
148,gujiao,C_layer_damper,炉后C层风门开度反馈,0.0000,100.0000,0.2023,0.0566,4DCS.40HLA42AA100AI 4DCS.40HLA52AA100AI
149,gujiao,E_layer_damper,炉后E层风门开度反馈,0.0000,100.0000,0.1744,0.0609,4DCS.40HLA41AA100AI 4DCS.40HLA51AA100AI
150,gujiao,blower_fan,送风机动叶调节执行机构反馈,0.0000,100.0000,0.3377,0.0704,4DCS.42HLB12AA101AI 4DCS.42HLB11AA101AI
151,gujiao,induced_draft_fan,引风机动叶调节执行机构反馈,0.0000,100.0000,0.6969,0.0837,4DCS.40HNC12AA101AI 4DCS.40HNC11AA101AI
152,gujiao,4DCS.40LAE12AA501AI,A侧一级过热器减温水调节阀阀位,0.0000,100.0000,0.3259,0.2853,4DCS.40LAE12AA501AI
153,gujiao,4DCS.40LAE14AA501AI,B侧一级过热器减温水调节阀控制,0.0000,100.0000,0.2738,0.2241,4DCS.40LAE14AA501AI
154,gujiao,4DCS.40LAE11AA501AI,A侧二级过热器减温水调节阀阀位,0.0000,100.0000,0.2440,0.2139,4DCS.40LAE11AA501AI
155,gujiao,4DCS.40LAE13AA501AI,B侧二级过热器减温水调节阀阀位,0.0000,100.0000,0.2224,0.1692,4DCS.40LAE13AA501AI
156,gujiao,4DCS.40HBK72AA101AVG,过热器烟气挡板平均值,0.0000,100.0000,0.7608,0.2723,4DCS.40HBK72AA101AVG
157,gujiao,4DCS.40HBK73AA101AVG,再热器烟气挡板平均值,0.0000,100.0000,0.7631,0.2648,4DCS.40HBK73AA101AVG
158,gujiao,extra_coal,额外给煤量,-75.0000,75.0000,0.4999,0.1464,
159,gujiao,conditionA,单耗A,0.8000,2.0000,0.4790,0.0868,
160,gujiao,conditionB,单耗B,0.8000,2.0000,0.2521,0.0998,
161,gujiao,conditionC,单耗C,0.8000,2.0000,0.5470,0.0898,
162,gujiao,conditionD,单耗D,0.8000,2.0000,0.4935,0.1535,
163,gujiao,conditionE,单耗E,0.8000,2.0000,0.4451,0.1038,
164,gujiao,conditionF,单耗F,0.8000,2.0000,0.5177,0.1607,
165,gujiao,date,date,0.0000,1.0000,,,